Data,CPF
1/30/2024,577.547.514-41
2/15/2024,577.547.514-41
2/26/2024,577.547.514-41
11/1/2023,577.547.514-41
11/28/2023,577.547.514-41
10/23/2023,577.547.514-41
2/27/2024,577.547.514-41
10/20/2023,577.547.514-41
2/7/2024,577.547.514-41
2/2/2024,577.547.514-41
10/20/2023,577.547.514-41
2/26/2024,577.547.514-41
2/7/2024,577.547.514-41
12/4/2023,577.547.514-41
1/11/2024,577.547.514-41
12/18/2023,577.547.514-41
10/9/2023,577.547.514-41
1/22/2024,577.547.514-41
1/22/2024,712.471.147-33
12/13/2023,713.114.745-15
2/6/2024,713.332.717-34
10/11/2023,714.372.573-41
11/27/2023,737.255.715-23
1/8/2024,747.171.131-11
11/27/2023,747.171.131-11
2/21/2024,757.545.735-34
12/20/2023,757.757.117-15
11/27/2023,771.151.551-34
10/31/2023,775.175.555-72
1/19/2024,775.317.575-41
10/26/2023,777.255.123-57
1/4/2024,777.411.514-11
2/8/2024,777.411.514-11
11/3/2023,777.531.744-75
12/8/2023,777.531.744-75
12/1/2023,777.531.744-75
2/21/2024,777.531.744-75
